"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"19700174990","Public Health Ethics",0.85,5,"1.15","0.18","7.32","0.886",5,"1.15","0.18","7.32","0.361",1,2,3,2,1,"Health Policy"
"27997","Public Health Nutrition",2.04,12,"2.19","0.55","8.64","0.264",12,"2.19","0.55","8.64","0.240",11,3,3,1,1,"Medicine (miscellaneous); Public, Environmental, and Occupational Health"
"22538","Public Health Reports",1.18,7,"0.36","0.04","3.22","0.359",7,"0.36","0.04","3.22","0.244",2,2,1,3,0,"Public, Environmental, and Occupational Health"
"22549","Public Health Reviews",1.42,2,"2.24","0.11","44.88","0.599",2,"2.24","0.11","44.88","1.000",1,0,1,0,1,"Public, Environmental, and Occupational Health"
"18622","Pulmonary Pharmacology and Therapeutics",2.56,3,"1.20","0.09","15.40","0.886",3,"1.20","0.09","15.40","0.999",1,3,0,0,0,"Biochemistry, Medical; Pharmacology (medical); Pulmonary and Respiratory Medicine"
"17712","Qualitative Health Research",1.85,4,"1.13","0.11","12.12","0.917",4,"1.13","0.11","12.12","0.791",0,0,0,1,4,"Public, Environmental, and Occupational Health"
"17732","Quality of Life Research",2.37,10,"2.06","0.51","8.21","0.307",10,"2.06","0.51","8.21","0.385",5,2,3,3,0,"Public, Environmental, and Occupational Health"
"4000149409","Quarterly Journal of Experimental Psychology",2,9,"0.29","0.03","2.60","0.271",9,"0.29","0.03","2.60","0.450",3,0,3,2,3,"Physiology (medical)"
"17331","Quarterly Journal of Nuclear Medicine and Molecular Imaging",2.06,5,"1.28","0.21","7.94","0.789",5,"1.28","0.21","7.94","0.779",3,1,0,2,0,"Radiology Nuclear Medicine and Imaging"
"5800179603","Radiation Oncology",2.65,43,"0.73","0.30","1.81","0.502",43,"0.73","0.30","1.81","0.294",15,10,10,6,7,"Oncology; Radiology Nuclear Medicine and Imaging"
"29514","Radiation Protection Dosimetry",0.86,28,"0.87","0.32","2.37","0.792",28,"0.87","0.32","2.37","0.525",1,5,9,15,14,"Public, Environmental, and Occupational Health; Radiology Nuclear Medicine and Imaging"
"29515","Radiation Research",2.67,5,"1.37","0.13","14.10","0.793",5,"1.37","0.13","14.10","0.707",0,2,1,0,5,"Radiology Nuclear Medicine and Imaging"
"17843","Radiographics",2.69,25,"1.19","0.45","3.17","0.727",25,"1.19","0.45","3.17","0.470",7,6,4,7,6,"Radiology Nuclear Medicine and Imaging"
"17845","Radiography",0.77,8,"1.13","0.20","6.46","0.889",8,"1.13","0.20","6.46","0.593",1,2,2,5,4,"Radiology Nuclear Medicine and Imaging"
"17864","Radiology",5.67,45,"0.48","0.20","1.17","0.107",45,"0.48","0.20","1.17","0.866",22,13,14,9,13,"Radiology Nuclear Medicine and Imaging"
"17876","Radiotherapy and Oncology",4.36,34,"1.03","0.43","2.45","0.943",34,"1.03","0.43","2.45","0.701",16,5,10,10,7,"Hematology; Oncology; Radiology Nuclear Medicine and Imaging"
"21948","Regional Anesthesia and Pain Medicine",2.32,24,"0.17","0.02","1.27","0.083",24,"0.17","0.02","1.27","0.100",8,7,5,8,5,"Anesthesiology and Pain Medicine"
"14112","Rehabilitation Psychology",1.78,6,"2.45","0.40","14.98","0.331",6,"2.45","0.40","14.98","0.381",2,1,1,0,5,"Psychiatry and Mental Health; Rehabilitation"
"22695","Remedial and Special Education",2.37,9,"0.16","0.02","1.38","0.096",9,"0.16","0.02","1.38","0.106",1,2,1,5,3,"Public, Environmental, and Occupational Health"
"54509","Reports of Practical Oncology and Radiotherapy",1.33,9,"0.74","0.14","3.83","0.722",9,"0.74","0.14","3.83","0.879",3,2,1,4,0,"Oncology; Radiology Nuclear Medicine and Imaging"
"13543","Reproduction",3.43,7,"0.53","0.10","2.87","0.463",7,"0.53","0.10","2.87","0.183",0,5,0,1,1,"Embryology; Obstetrics and Gynecology; Reproductive Medicine"
"13544","Reproduction, Fertility and Development",1.88,7,"1.28","0.24","6.85","0.772",7,"1.28","0.24","6.85","0.978",1,0,3,4,0,"Reproductive Medicine"
"26698","Reproductive Biology and Endocrinology",2.89,11,"0.73","0.20","2.70","0.642",11,"0.73","0.20","2.70","0.647",2,0,4,6,2,"Reproductive Medicine"
"28161","Reproductive BioMedicine Online",2.59,36,"0.71","0.33","1.50","0.367",36,"0.71","0.33","1.50","0.963",21,11,5,1,3,"Reproductive Medicine"
"144680","Reproductive Health",2.52,21,"1.85","0.66","5.17","0.240",21,"1.85","0.66","5.17","0.134",6,2,10,2,4,"Obstetrics and Gynecology; Reproductive Medicine"
"18627","Respiration; international review of thoracic diseases",2.25,34,"0.30","0.09","1.03","0.055",34,"0.30","0.09","1.03","0.053",10,7,10,7,6,"Pulmonary and Respiratory Medicine"
"18635","Respiratory Care",1.56,44,"0.18","0.04","0.80","0.024",44,"0.18","0.04","0.80","0.008",12,7,11,15,10,"Medicine (all)"
"18639","Respiratory Medicine",3.48,4,"6.00","0.35","101.57","0.214",4,"6.00","0.35","101.57","0.269",1,2,2,0,0,"Pulmonary and Respiratory Medicine"
"18640","Respiratory Research",3.74,21,"0.31","0.07","1.36","0.119",21,"0.31","0.07","1.36","0.124",4,2,2,6,8,"Pulmonary and Respiratory Medicine"
"19062","Respirology",2.75,45,"0.56","0.26","1.23","0.151",45,"0.56","0.26","1.23","0.089",7,10,4,13,14,"Pulmonary and Respiratory Medicine"
"19064","Resuscitation",3.26,69,"0.62","0.29","1.29","0.199",69,"0.62","0.29","1.29","0.338",53,45,0,0,0,"Cardiology and Cardiovascular Medicine; Emergency Medicine"
"15094","Retina",2.67,6,"1.33","0.18","9.91","0.783",6,"1.33","0.18","9.91","0.669",0,1,5,1,0,"Ophthalmology"
"23029","Retrovirology",3.67,17,"0.42","0.09","1.93","0.263",17,"0.42","0.09","1.93","0.255",7,2,5,4,3,"Infectious Diseases"
"26699","Reviews in Endocrine and Metabolic Disorders",5.04,12,"0.60","0.15","2.42","0.470",12,"0.60","0.15","2.42","0.565",0,0,0,7,8,"Endocrinology, Diabetes, and Metabolism"
"78240","Revista Argentina de Cardiologia",0.09,28,"0.20","0.03","1.49","0.116",28,"0.20","0.03","1.49","0.118",5,7,7,9,4,"Cardiology and Cardiovascular Medicine"
"23092","Revista da Sociedade Brasileira de Medicina Tropical",1.09,5,"1.07","0.10","10.88","0.957",5,"1.07","0.10","10.88","0.968",0,1,2,2,0,"Infectious Diseases; Microbiology (medical)"
"21100218035","Revista de la Federacion Argentina de Cardiologia",0.06,5,"4.86","0.67","35.31","0.118",5,"4.86","0.67","35.31","0.999",0,0,3,3,2,"Cardiology and Cardiovascular Medicine"
"21100376681","Revista de Senologia y Patologia Mamaria",0.09,6,"0.49","0.05","5.29","0.560",6,"0.49","0.05","5.29","0.295",1,3,0,2,0,"Oncology; Radiology Nuclear Medicine and Imaging"
"21950","Revista Espanola de Anestesiologia y Reanimacion",0.28,6,"0.80","0.09","7.24","0.840",6,"0.80","0.09","7.24","0.587",1,2,1,2,0,"Anesthesiology and Pain Medicine; Critical Care and Intensive Care Medicine"
"21100203935","Revista Espanola de Medicina Nuclear e Imagen Molecular",0.55,3,"1.83","0.15","21.68","0.631",3,"1.83","0.15","21.68","1.000",1,0,0,1,1,"Radiology Nuclear Medicine and Imaging"
"18256","Revista Iberoamericana de Micologia",1.29,4,"0.91","0.09","8.80","0.935",4,"0.91","0.09","8.80","0.724",1,2,0,2,0,"Infectious Diseases"
"19700174681","Revista Paulista de Pediatria",0.81,5,"0.32","0.03","3.01","0.317",5,"0.32","0.03","3.01","0.789",2,2,0,1,0,"Pediatrics, Perinatology, and Child Health"
"20605","Revista Portuguesa de Cardiologia",0.5,38,"1.00","0.42","2.39","0.992",38,"1.00","0.42","2.39","0.448",2,4,7,16,33,"Cardiology and Cardiovascular Medicine"
"19307","Revue Neurologique",0.71,5,"2.88","0.43","19.57","0.278",5,"2.88","0.43","19.57","0.147",1,1,1,1,1,"Clinical Neurology"
"19771","Rheumatology",2.51,64,"0.68","0.38","1.22","0.197",64,"0.68","0.38","1.22","0.206",18,18,13,9,15,"Pharmacology (medical); Rheumatology"
"14360","Rhinology",1.43,3,"5.24","0.38","72.48","0.217",3,"5.24","0.38","72.48","1.000",2,0,1,0,1,"Otorhinolaryngology"
"26372","Risk Analysis",2.21,17,"1.05","0.20","5.58","0.952",17,"1.05","0.20","5.58","0.589",9,2,2,11,4,"Physiology (medical)"
"19700175032","SAJCH South African Journal of Child Health",0.27,2,"0.89","0.06","14.36","0.937",2,"0.89","0.06","14.36","0.997",0,0,2,0,1,"Pediatrics, Perinatology, and Child Health"
"19317","Salud Publica de Mexico",1.08,8,"0.61","0.13","2.84","0.525",8,"0.61","0.13","2.84","0.902",3,2,1,0,2,"Public, Environmental, and Occupational Health"
"19700201145","Saudi Journal of Anaesthesia",0.63,6,"1.13","0.12","10.38","0.915",6,"1.13","0.12","10.38","0.905",4,1,0,0,3,"Anesthesiology and Pain Medicine"
"5300152206","Saudi Journal of Gastroenterology",1.14,11,"0.36","0.04","3.12","0.354",11,"0.36","0.04","3.12","0.250",1,1,3,5,3,"Gastroenterology"
"20346","Scandinavian Journal of Medicine and Science in Sports",3.16,11,"0.51","0.06","4.24","0.531",11,"0.51","0.06","4.24","0.415",0,7,7,0,0,"Orthopedics and Sports Medicine"
"19500157041","Scandinavian Journal of Pain",0.78,27,"1.10","0.45","2.71","0.838",27,"1.10","0.45","2.71","0.732",23,23,6,0,0,"Anesthesiology and Pain Medicine; Clinical Neurology"
"19700166521","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",1.81,24,"0.53","0.12","2.40","0.407",24,"0.53","0.12","2.40","0.185",7,0,6,12,2,"Critical Care and Intensive Care Medicine; Emergency Medicine"
"12344","Scandinavian Journal of Work, Environment and Health",3.01,20,"0.46","0.16","1.33","0.154",20,"0.46","0.16","1.33","0.201",6,0,8,4,5,"Public, Environmental, and Occupational Health"
"19353","Schizophrenia Bulletin",6.53,35,"0.57","0.25","1.30","0.182",35,"0.57","0.25","1.30","0.457",8,12,6,1,18,"Psychiatry and Mental Health"
"19355","Schizophrenia Research",3.81,22,"0.21","0.05","0.92","0.038",22,"0.21","0.05","0.92","0.122",4,4,13,3,0,"Psychiatry and Mental Health"
"23164","School Psychology International",1.26,3,"0.47","0.03","8.56","0.613",3,"0.47","0.03","8.56","1.000",0,0,2,0,3,"Psychiatry and Mental Health"
"23571","Science",14.39,222,"0.85","0.60","1.21","0.369",222,"0.85","0.60","1.21","0.993",87,74,21,50,3,"General"
"23590","Science and Engineering Ethics",1.12,6,"1.50","0.19","12.12","0.704",6,"1.50","0.19","12.12","0.944",1,1,1,4,1,"Health Policy"
"19700174677","Science Translational Medicine",7.21,166,"0.45","0.29","0.69","0.000",166,"0.45","0.29","0.69","0.045",67,49,38,16,11,"Medicine (all)"
"19700188357","Scientia Medica",0.07,4,"0.45","0.04","4.86","0.510",4,"0.45","0.04","4.86","1.000",1,2,0,0,1,"Medicine (all)"
"18857","Scottish Medical Journal",0.47,3,"0.58","0.05","6.95","0.671",3,"0.58","0.05","6.95","0.999",0,1,2,0,0,"Medicine (all)"
"20514","Seminars in Dialysis",1.38,4,"1.09","0.11","10.73","0.941",4,"1.09","0.11","10.73","0.836",1,2,0,0,1,"Nephrology"
"26071","Seminars in Hematology",3.31,4,"2.95","0.26","33.44","0.383",4,"2.95","0.26","33.44","0.447",3,0,0,2,0,"Hematology"
"21359","Seminars in Immunology",8.87,9,"0.97","0.17","5.59","0.971",9,"0.97","0.17","5.59","0.747",0,3,1,6,0,"Immunology and Allergy"
"7100153107","Seminars in Immunopathology",5.88,17,"0.81","0.21","3.17","0.764",17,"0.81","0.21","3.17","0.574",1,4,1,3,8,"Immunology and Allergy"
"25368","Seminars in Liver Disease",5.2,6,"2.34","0.36","14.95","0.371",6,"2.34","0.36","14.95","0.253",1,3,3,0,0,"Hepatology"
"20515","Seminars in Nephrology",3.67,8,"0.58","0.06","5.43","0.629",8,"0.58","0.06","5.43","0.798",0,7,1,0,0,"Nephrology"
"17894","Seminars in Nuclear Medicine",3.22,14,"0.54","0.10","2.81","0.464",14,"0.54","0.10","2.81","0.895",5,7,1,3,2,"Radiology Nuclear Medicine and Imaging"
"19386","Seminars in Pediatric Neurology",1.71,3,"0.60","0.05","6.68","0.674",3,"0.60","0.05","6.68","0.998",2,1,0,0,0,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"13121","Seminars in Radiation Oncology",4.48,5,"1.06","0.09","12.71","0.965",5,"1.06","0.09","12.71","0.492",0,1,1,2,1,"Oncology; Radiology Nuclear Medicine and Imaging"
"26709","Seminars in Reproductive Medicine",2.09,6,"1.28","0.18","9.33","0.806",6,"1.28","0.18","9.33","0.906",2,1,0,0,3,"Endocrinology, Diabetes, and Metabolism; Obstetrics and Gynecology; Physiology (medical); Reproductive Medicine"
"22284","Seminars in Thoracic and Cardiovascular Surgery",0.94,46,"0.73","0.25","2.14","0.561",46,"0.73","0.25","2.14","0.916",0,2,4,24,26,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery"
"26072","Seminars in Thrombosis and Hemostasis",3.01,46,"0.99","0.51","1.92","0.974",46,"0.99","0.51","1.92","0.878",13,23,11,19,15,"Cardiology and Cardiovascular Medicine; Hematology"
"14799","Sexual Abuse: Journal of Research and Treatment",1.67,3,"1.05","0.09","12.45","0.969",3,"1.05","0.09","12.45","0.500",0,0,3,0,1,"Psychiatry and Mental Health"
"14801","Sexual and Relationship Therapy",1.09,3,"0.54","0.05","6.05","0.619",3,"0.54","0.05","6.05","0.999",1,2,0,0,0,"Psychiatry and Mental Health"
"3600148103","Sexual Health",1.09,13,"0.88","0.27","2.85","0.830",13,"0.88","0.27","2.85","0.620",0,14,5,1,2,"Infectious Diseases; Public, Environmental, and Occupational Health"
"24944","Sexually Transmitted Diseases",2.17,34,"0.88","0.40","1.91","0.745",34,"0.88","0.40","1.91","0.877",16,13,9,4,5,"Dermatology; Infectious Diseases; Microbiology (medical); Public, Environmental, and Occupational Health"
"24946","Sexually Transmitted Infections",2.02,23,"1.30","0.54","3.15","0.560",23,"1.30","0.54","3.15","0.542",21,16,13,6,7,"Dermatology; Infectious Diseases"
"21100237601","Shanghai Archives of Psychiatry",0.96,5,"0.95","0.12","7.56","0.958",5,"0.95","0.12","7.56","0.589",2,1,3,0,0,"Psychiatry and Mental Health"
"18944","Shock",2.57,37,"0.86","0.33","2.26","0.761",37,"0.86","0.33","2.26","0.523",14,18,8,12,5,"Critical Care and Intensive Care Medicine; Emergency Medicine"
"18960","Singapore Medical Journal",0.63,3,"0.76","0.04","13.86","0.854",3,"0.76","0.04","13.86","1.000",0,0,0,1,2,"Medicine (all)"
"21100203714","Skeletal Muscle",3.03,4,"2.53","0.32","19.77","0.375",4,"2.53","0.32","19.77","0.419",0,2,0,2,1,"Orthopedics and Sports Medicine"
"19830","Sleep",4.1,100,"0.33","0.20","0.56","0.000",100,"0.33","0.20","0.56","0.000",43,24,27,16,1,"Clinical Neurology; Physiology (medical)"
"19831","Sleep and Breathing",1.91,14,"0.49","0.12","2.10","0.339",14,"0.49","0.12","2.10","0.277",8,2,5,2,1,"Clinical Neurology; Otorhinolaryngology"
"19834","Sleep Medicine",2.8,36,"0.57","0.25","1.27","0.168",36,"0.57","0.25","1.27","0.460",20,10,13,0,0,"Medicine (all)"
"19837","Sleep Medicine Reviews",6.03,11,"0.31","0.06","1.59","0.158",11,"0.31","0.06","1.59","0.602",6,5,0,0,0,"Clinical Neurology; Physiology (medical); Pulmonary and Respiratory Medicine"
"19841","Social Psychiatry and Psychiatric Epidemiology",2.43,14,"0.75","0.22","2.57","0.650",14,"0.75","0.22","2.57","0.599",2,2,8,3,2,"Epidemiology; Psychiatry and Mental Health"
"56235","South African Journal of Clinical Nutrition",0.38,4,"2.14","0.22","20.66","0.510",4,"2.14","0.22","20.66","0.945",1,0,3,0,1,"Medicine (miscellaneous)"
"96519","Southern African Journal of Critical Care",0.26,4,"3.96","0.31","50.76","0.291",4,"3.96","0.31","50.76","1.000",1,2,1,1,1,"Critical Care and Intensive Care Medicine"
"19508","Southern Medical Journal",0.72,26,"0.61","0.22","1.69","0.340",26,"0.61","0.22","1.69","0.188",6,19,11,9,4,"Medicine (all)"
"19884","Spinal Cord",1.41,13,"0.46","0.09","2.22","0.332",13,"0.46","0.09","2.22","0.235",2,6,6,1,0,"Clinical Neurology"
"21100248810","Spine Deformity",0.63,2,"4.47","0.22","89.76","0.328",2,"4.47","0.22","89.76","1.000",0,0,2,0,0,"Orthopedics and Sports Medicine"
"13070","Spine Journal",2.14,37,"0.47","0.11","2.11","0.324",37,"0.47","0.11","2.11","0.294",18,11,5,9,2,"Clinical Neurology; Surgery"
"20934","Sport, Education and Society",1.74,11,"0.45","0.11","1.90","0.279",11,"0.45","0.11","1.90","0.668",3,2,6,0,2,"Orthopedics and Sports Medicine"
"20373","Sports Medicine",6.78,24,"0.22","0.03","1.68","0.144",24,"0.22","0.03","1.68","0.217",2,5,1,9,8,"Orthopedics and Sports Medicine"
"14231","Statistical Methods in Medical Research",2.64,3,"4.00","0.25","63.95","0.327",3,"4.00","0.25","63.95","0.998",2,1,2,0,0,"Epidemiology"
"20086","Statistics in Medicine",1.94,18,"0.68","0.17","2.65","0.578",18,"0.68","0.17","2.65","0.711",6,3,3,4,9,"Epidemiology"
"19700201524","Stem Cell Research and Therapy",4.23,31,"1.08","0.46","2.54","0.854",31,"1.08","0.46","2.54","0.810",8,2,12,5,4,"Medicine (miscellaneous)"
"19560","Stress",2.58,2,"1.87","0.10","34.31","0.673",2,"1.87","0.10","34.31","1.000",0,0,0,1,1,"Psychiatry and Mental Health"
"20618","Stroke",4.94,74,"0.49","0.24","1.02","0.056",74,"0.49","0.24","1.02","0.107",18,22,17,10,18,"Cardiology and Cardiovascular Medicine; Clinical Neurology"
"21944","Substance Abuse",1.85,2,"1.55","0.09","25.34","0.759",2,"1.55","0.09","25.34","0.999",1,4,4,1,1,"Medicine (miscellaneous); Psychiatry and Mental Health"
"21945","Substance Use and Misuse",1.26,8,"0.50","0.09","2.88","0.437",8,"0.50","0.09","2.88","0.766",1,5,0,2,2,"Medicine (miscellaneous); Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"13147","Supportive Care in Cancer",2.63,11,"0.63","0.16","2.49","0.508",11,"0.63","0.16","2.49","0.985",2,0,7,3,1,"Oncology"
"22305","Surgery",2.77,29,"1.22","0.51","2.90","0.652",29,"1.22","0.51","2.90","0.168",5,6,6,7,9,"Surgery"
"4100151501","Surgery for Obesity and Related Diseases",2.48,26,"0.85","0.23","3.10","0.809",26,"0.85","0.23","3.10","0.607",9,14,10,5,6,"Surgery"
"19196","Surgical Endoscopy",3.09,3,"2.16","0.13","34.61","0.586",3,"2.16","0.13","34.61","1.000",2,0,0,0,1,"Surgery"
"19197","Surgical Infections",1.24,5,"0.46","0.04","5.05","0.523",5,"0.46","0.04","5.05","0.395",2,1,0,1,1,"Infectious Diseases; Microbiology (medical); Surgery"
"21100237425","Systematic Reviews",3.25,30,"1.60","0.72","3.58","0.252",30,"1.60","0.72","3.58","0.758",0,2,22,6,10,"Medicine (miscellaneous)"
"25374","Techniques in Coloproctology",1.64,28,"0.13","0.02","0.99","0.049",28,"0.13","0.02","0.99","0.215",6,12,8,1,4,"Gastroenterology; Surgery"
"13077","Techniques in Orthopaedics",0.15,3,"5.20","0.29","92.29","0.262",3,"5.20","0.29","92.29","0.999",0,0,1,1,1,"Orthopedics and Sports Medicine"
"23728","Telemedicine Journal and e-Health",1.06,2,"1.22","0.08","19.86","0.887",2,"1.22","0.08","19.86","1.000",1,1,1,0,0,"Health Informatics"
"5800207390","The Clinical Supervisor",0.98,4,"0.99","0.09","10.33","0.991",4,"0.99","0.09","10.33","0.780",0,0,0,0,5,"Psychiatry and Mental Health"
"29070","The Gerontologist",3.03,11,"1.13","0.30","4.20","0.856",11,"1.13","0.30","4.20","0.581",0,9,2,2,2,"Geriatrics and Gerontology"
"16590","The Lancet",6.93,641,"0.58","0.47","0.71","0.000",641,"0.58","0.47","0.71","0.020",171,151,198,140,86,"Medicine (all)"
"21100237403","The Lancet Diabetes and Endocrinology",5.14,145,"0.43","0.27","0.67","0.000",145,"0.43","0.27","0.67","0.002",16,53,47,33,24,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"21100265444","The Lancet Global Health",4.17,130,"0.70","0.46","1.05","0.082",130,"0.70","0.46","1.05","0.478",16,27,40,28,33,"Medicine (all)"
"21100370017","The Lancet Haematology",2.15,91,"0.39","0.21","0.73","0.003",91,"0.39","0.21","0.73","0.013",0,8,36,31,25,"Hematology"
"21100369870","The Lancet HIV",2.69,65,"0.68","0.39","1.18","0.168",65,"0.68","0.39","1.18","0.284",0,10,34,17,9,"Epidemiology; Infectious Diseases"
"22471","The Lancet Infectious Diseases",5.96,223,"0.60","0.43","0.83","0.002",223,"0.60","0.43","0.83","0.037",47,52,64,55,39,"Infectious Diseases"
"16860","The Lancet Neurology",9.6,165,"0.42","0.26","0.66","0.000",165,"0.42","0.26","0.66","0.043",41,40,45,38,23,"Clinical Neurology"
"12354","The Lancet Oncology",10.24,358,"0.63","0.47","0.83","0.001",358,"0.63","0.47","0.83","0.062",96,105,109,77,64,"Oncology"
"21100220495","The Lancet Respiratory Medicine",4.43,138,"0.52","0.33","0.84","0.007",138,"0.52","0.33","0.84","0.150",30,35,36,34,21,"Pulmonary and Respiratory Medicine"
"21100207003","Theranostics",9.07,8,"3.46","0.65","18.53","0.147",8,"3.46","0.65","18.53","0.107",5,1,0,3,3,"Medicine (miscellaneous)"
"22299","Therapeutic Drug Monitoring",2.14,4,"0.65","0.06","6.62","0.718",4,"0.65","0.06","6.62","0.532",0,1,0,1,6,"Pharmacology (medical)"
"19248","Thoracic and Cardiovascular Surgeon",0.81,12,"0.64","0.07","5.57","0.686",12,"0.64","0.07","5.57","0.916",4,5,2,0,4,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery"
"19104","Thorax",3.83,140,"0.45","0.28","0.73","0.001",140,"0.45","0.28","0.73","0.004",39,42,32,30,27,"Pulmonary and Respiratory Medicine"
"20640","Thrombosis and Haemostasis",4.03,64,"0.42","0.18","0.97","0.041",64,"0.42","0.18","0.97","0.300",18,15,21,13,13,"Hematology"
"20648","Thrombosis Research",2.28,34,"0.61","0.23","1.58","0.309",34,"0.61","0.23","1.58","0.457",8,19,14,0,0,"Hematology"
"26727","Thyroid",4.06,24,"0.48","0.18","1.27","0.139",24,"0.48","0.18","1.27","0.278",8,6,4,3,3,"Endocrinology, Diabetes, and Metabolism"
"19700166804","Ticks and Tick-borne Diseases",3.15,4,"1.03","0.09","11.55","0.984",4,"1.03","0.09","11.55","0.567",1,0,0,3,0,"Infectious Diseases"
